feature,importance
year_norm,0.3007041511038301
days_norm,0.16555634639874625
freq_norm,0.15453377292494885
drift_inten,0.10998966260152213
n_years_norm,0.08275240868908888
hydro_delta,0.03598902841277716
position_norm,0.03495469585704444
vol_delta,0.03174818083460922
var_hydro,0.019881733867932724
var_vol,0.01949501324540495
ref_vol,0.01611486982776208
ref_hydro,0.015960989810029576
charge_chg,0.0037756272300530592
polar_chg,0.0036694331781548695
bind_flag,0.002983504951448329
crit_flag,0.0018905810666473987
