season,year,who_strain,who_clade,who_cluster_idx,who_cluster_name,model_cluster_idx,model_cluster_name,confidence,exact_match,adjacent_match,cluster_distance
2009-10,2009,A/Brisbane/10/2007,BE92,7,BE92,10,FU02,0.6011,0,0,3
2010-11,2010,A/Perth/16/2009,PE09,11,PE09,11,PE09,0.5856,1,1,0
2011-12,2011,A/Perth/16/2009,PE09,11,PE09,11,PE09,0.7239,1,1,0
2012-13,2012,A/Victoria/361/2011,VI11,12,VI11,11,PE09,0.6483,0,1,1
2013-14,2013,A/Texas/50/2012,VI11,12,VI11,11,PE09,0.4177,0,1,1
2014-15,2014,A/New York/39/2012,VI11,12,VI11,2,VI75,0.4172,0,0,10
2015-16,2015,A/Switzerland/9715293/13,SW13,13,SW13,2,VI75,0.4101,0,0,11
2016-17,2016,A/Hong Kong/4801/2014,HK14,14,HK14,12,VI11,0.331,0,0,2
2017-18,2017,A/Hong Kong/4801/2014,HK14,14,HK14,13,SW13,0.6512,0,1,1
2018-19,2018,A/Singapore/INFIMH-16-0019/2016,HK14,14,HK14,13,SW13,0.7734,0,1,1
2019-20,2019,A/Kansas/14/2017,HK14,14,HK14,13,SW13,0.6167,0,1,1
2020-21,2020,A/Hong Kong/2671/2019,HK14,14,HK14,13,SW13,0.5429,0,1,1
2021-22,2021,A/Cambodia/e0826360/2020,3C.2a1b.1a,14,HK14,14,HK14,0.9173,1,1,0
2022-23,2022,A/Darwin/6/2021,3C.2a1b.2a.2,14,HK14,14,HK14,0.9544,1,1,0
2023-24,2023,A/Darwin/9/2021,3C.2a1b.2a.2,14,HK14,14,HK14,0.9889,1,1,0
2024-25,2024,A/Thailand/8/2022,3C.2a1b.2a.2,14,HK14,13,SW13,0.5429,0,1,1
