Year,mean_distance,std_distance,sample_size,pandemic_mean,pandemic_n
1918,79.0,0.0,1,,
1933,210.91681415929202,185.18535430729335,3,,
1934,342.6853982300885,148.55946660617454,8,,
1935,181.1867256637168,161.04080795182307,4,,
1936,98.0,0.0,1,,
1940,112.0,0.0,1,,
1942,105.00000000000001,0.0,1,,
1943,212.91622418879055,182.58694084370893,3,,
1945,109.0,0.0,1,,
1946,110.33333333333333,9.018499505645787,3,,
1947,112.25,2.0615528128088303,4,,
1948,322.69424460431657,295.1382311086326,2,,
1949,113.0,0.0,1,,
1950,113.0,2.0,3,,
1951,111.0,1.264911064067352,6,,
1953,114.21377459749553,1.7165364974421222,2,,
1954,115.0,2.8284271247461903,2,,
1956,531.3003545061306,8.617011547674641,2,,
1957,429.75929203539823,0.0,2,,
1976,50.6,0.547722557505166,5,,
1977,116.0,0.7071067811865441,5,,
1978,115.0,0.8660254037844434,9,,
1979,114.66666666666667,1.1547005383792617,3,,
1980,115.0,1.0000000000000053,3,,
1981,114.0,0.0,1,,
1982,113.66666666666667,1.1547005383792526,3,,
1983,114.53846153846153,1.265924208854588,13,,
1984,112.0,0.0,2,,
1985,119.0,0.0,1,,
1986,113.2,1.3038404810405295,5,,
1987,114.0,0.0,2,,
1988,193.2489675516224,202.07480462068963,3,,
1989,114.66666666666667,1.1547005383792597,3,,
1991,227.21625356710138,212.267794051499,7,,
1992,115.5,0.7071067811865626,2,,
1993,113.5,0.7071067811865476,2,,
1994,42.0,0.0,1,,
1995,211.38404261060512,171.55042962027554,24,,
1996,204.45410872313528,144.82831154207256,21,,
1997,376.6306784660767,126.70834141592105,6,,
1998,390.4137168141593,110.08069442707232,8,,
1999,428.048823197138,1.0550824566880446,6,,
2000,362.2191527019394,139.5235069583348,35,,
2001,425.76492495414476,68.20498010908952,55,,
2002,427.7557522123894,0.5354685413183443,8,,
2003,450.8935584426452,44.77916180276771,9,,
2004,427.89886219974716,0.3786334366782713,7,,
2005,414.48760417953133,84.68171854020703,40,,
2006,438.86580786484865,32.420324149073735,91,,
2007,433.8532185711774,36.80715115181646,239,,
2008,432.70080364880545,33.33456660135219,258,,
2009,61.636703880269806,149.64272550084166,2177,4.626892930586086,1898.0
2010,41.57107134593222,131.2228757831542,759,5.988865466885655,706.0
2011,62.75510408280359,158.02908602016151,554,8.675279054494943,494.0
2012,63.78310672336085,157.7443747798141,267,10.980668536929853,240.0
2013,92.00521650109587,187.25793484661912,502,11.53770946741843,423.0
2014,56.85956414455245,141.46091823154825,288,11.937575270784462,260.0
2015,122.04364087838383,211.43849297754014,163,13.832423501639488,129.0
2016,18.95048171152898,37.832013617867595,392,15.428341806835688,386.0
2017,16.574074074074073,1.3402597868683133,54,16.574074074074073,54.0
