config_id,config_name,w_drift,w_cluster,w_timing,w_agentic,w_epistasis,val_AUC
0,baseline,0.4,0.25,0.15,0.15,0.05,0.8941
1,w_drift_plus0.10,0.5,0.2083,0.125,0.125,0.0417,0.8809
2,w_drift_minus0.10,0.3,0.2917,0.175,0.175,0.0583,0.8965
3,w_cluster_plus0.10,0.3467,0.35,0.13,0.13,0.0433,0.9005
4,w_cluster_minus0.10,0.4533,0.15,0.17,0.17,0.0567,0.8906
5,w_timing_plus0.10,0.3529,0.2206,0.25,0.1324,0.0441,0.8962
6,w_timing_minus0.10,0.4471,0.2794,0.05,0.1676,0.0559,0.893
7,w_agentic_plus0.10,0.3529,0.2206,0.1324,0.25,0.0441,0.8951
8,w_agentic_minus0.10,0.4471,0.2794,0.1676,0.05,0.0559,0.891
9,w_epistasis_plus0.10,0.3579,0.2237,0.1342,0.1342,0.15,0.8891
10,w_epistasis_minus0.10,0.4168,0.2605,0.1563,0.1563,0.01,0.8903
